sku,current_stock,min_stock,label,category,stock_status
SKU-00238,2709.0,43,L'avantage de rouler à sa source,CLOTHING,OK
SKU-00228,4032.0,49,L'avantage de changer plus rapidement,OTHER,OK
SKU-00369,4206.0,21,La liberté d'innover naturellement,ELEC,OK
SKU-00361,4404.0,43,Le confort d'atteindre vos buts à la pointe,CLOTHING,OK
SKU-00268,4575.0,45,L'assurance de changer de manière sûre,ELEC,OK
SKU-00249,4644.0,48,Le plaisir d'atteindre vos buts plus rapidement,TOOLS,OK
SKU-00379,4719.0,6,L'avantage de louer de manière efficace,TOOLS,OK
SKU-00483,4839.0,40,L'avantage d'évoluer de manière sûre,CLOTHING,OK
SKU-00367,4893.0,6,La liberté de changer de manière sûre,OTHER,OK
SKU-00478,4995.0,35,Le confort d'avancer naturellement,ELEC,OK
SKU-00490,5373.0,47,Le pouvoir d'évoluer à l'état pur,TOOLS,OK
SKU-00020,5483.0,29,L'avantage d'avancer autrement,ELEC,OK
SKU-00263,5517.0,44,L'assurance de concrétiser vos projets à l'état pur,TOOLS,OK
SKU-00461,5532.0,29,Le confort de rouler en toute tranquilité,OTHER,OK
SKU-00467,5565.0,28,Le plaisir d'évoluer de manière efficace,ELEC,OK
SKU-00460,5574.0,12,Le pouvoir de rouler sans soucis,TOOLS,OK
SKU-00258,5649.0,42,La liberté de rouler plus rapidement,CLOTHING,OK
SKU-00373,5661.0,5,L'art d'évoluer avant-tout,CLOTHING,OK
SKU-00259,5703.0,26,Le pouvoir d'atteindre vos buts naturellement,OTHER,OK
SKU-00357,5712.0,28,La possibilité d'atteindre vos buts de manière sûre,OTHER,OK
SKU-00428,5811.0,29,La liberté d'avancer à la pointe,FOOD,OK
SKU-00211,5829.0,16,Le plaisir d'innover avant-tout,TOOLS,OK
SKU-00421,5844.0,49,La liberté d'avancer plus facilement,FOOD,OK
SKU-00115,5858.0,12,Le droit d'avancer sans soucis,CLOTHING,OK
SKU-00325,5862.0,0,La liberté de concrétiser vos projets à sa source,FOOD,OK
SKU-00251,5967.0,11,La liberté d'avancer autrement,CLOTHING,OK
