sku,current_stock
SKU-00146,-1596.0
SKU-00055,-1500.0
SKU-00085,-1050.0
SKU-00080,-798.0
SKU-00027,-342.0
SKU-00147,-198.0
SKU-95681,-171.0
SKU-94243,-170.0
SKU-95613,-164.0
SKU-96512,-152.0
SKU-92114,-129.0
SKU-97548,-128.0
SKU-98333,-125.0
SKU-98287,-109.0
SKU-95625,-106.0
SKU-93654,-100.0
SKU-98203,-100.0
SKU-94610,-100.0
SKU-91871,-100.0
SKU-97410,-100.0
SKU-99522,-100.0
SKU-98387,-100.0
SKU-93412,-100.0
SKU-97560,-100.0
SKU-91706,-99.0
SKU-98507,-99.0
SKU-98615,-99.0
SKU-96796,-99.0
SKU-90898,-99.0
SKU-95195,-99.0
SKU-94078,-99.0
SKU-99690,-99.0
SKU-92187,-99.0
SKU-97452,-99.0
SKU-91007,-98.0
SKU-92458,-98.0
SKU-95037,-98.0
SKU-93613,-98.0
SKU-97234,-98.0
SKU-90225,-98.0
SKU-98590,-98.0
SKU-93333,-98.0
SKU-91000,-97.0
SKU-90711,-97.0
SKU-97035,-97.0
SKU-96436,-97.0
SKU-96295,-97.0
SKU-96247,-96.0
SKU-93747,-96.0
SKU-92004,-96.0
SKU-98597,-96.0
SKU-98462,-96.0
SKU-96962,-95.0
SKU-92102,-95.0
SKU-97141,-95.0
SKU-93463,-95.0
SKU-91482,-95.0
SKU-98289,-94.0
SKU-97111,-94.0
SKU-92241,-94.0
SKU-99565,-94.0
SKU-94661,-94.0
SKU-93799,-93.0
SKU-92628,-93.0
SKU-96008,-93.0
SKU-93495,-93.0
SKU-96189,-93.0
SKU-96582,-92.0
SKU-90389,-92.0
SKU-91110,-92.0
SKU-98821,-92.0
SKU-94017,-92.0
SKU-90828,-91.0
SKU-98327,-91.0
SKU-94159,-91.0
SKU-95777,-91.0
SKU-91914,-91.0
SKU-95666,-91.0
SKU-90646,-91.0
SKU-98896,-90.0
SKU-94700,-90.0
SKU-99512,-90.0
SKU-96813,-90.0
SKU-99471,-90.0
SKU-96860,-90.0
SKU-90229,-89.0
SKU-90348,-89.0
SKU-98095,-89.0
SKU-93096,-89.0
SKU-97817,-89.0
SKU-91538,-89.0
SKU-99919,-88.0
SKU-90197,-88.0
SKU-91953,-88.0
SKU-96831,-88.0
SKU-92636,-88.0
SKU-97044,-88.0
SKU-90324,-88.0
SKU-98718,-88.0
SKU-92402,-88.0
SKU-91986,-87.0
SKU-96074,-87.0
SKU-94888,-87.0
SKU-91099,-87.0
SKU-92498,-87.0
SKU-91426,-87.0
SKU-95295,-87.0
SKU-95214,-87.0
SKU-93589,-87.0
SKU-92886,-87.0
SKU-91074,-87.0
SKU-92570,-87.0
SKU-96992,-86.0
SKU-93899,-86.0
SKU-99642,-86.0
SKU-98947,-86.0
SKU-94233,-85.0
SKU-90468,-85.0
SKU-96517,-85.0
SKU-98152,-85.0
SKU-94826,-85.0
SKU-96020,-84.0
SKU-97620,-84.0
SKU-92728,-84.0
SKU-92480,-84.0
SKU-90117,-84.0
SKU-99772,-83.0
SKU-99543,-83.0
SKU-98945,-83.0
SKU-90836,-82.0
SKU-92138,-82.0
SKU-90612,-82.0
SKU-92248,-82.0
SKU-93785,-82.0
SKU-96216,-82.0
SKU-95027,-82.0
SKU-98309,-81.0
SKU-98698,-81.0
SKU-96110,-81.0
SKU-95394,-81.0
SKU-95989,-80.0
SKU-96652,-80.0
SKU-92067,-80.0
SKU-91825,-80.0
SKU-95299,-80.0
SKU-94895,-80.0
SKU-90406,-80.0
SKU-96863,-79.0
SKU-97559,-79.0
SKU-97530,-79.0
SKU-90113,-79.0
SKU-99195,-79.0
SKU-93607,-79.0
SKU-98529,-79.0
SKU-92941,-79.0
SKU-96609,-79.0
SKU-97538,-79.0
SKU-92087,-78.0
SKU-97091,-78.0
SKU-99883,-78.0
SKU-97082,-78.0
SKU-91323,-78.0
SKU-92934,-78.0
SKU-91525,-77.0
SKU-92254,-77.0
SKU-95168,-77.0
SKU-91753,-77.0
SKU-97533,-76.0
SKU-99422,-76.0
SKU-91461,-76.0
SKU-91686,-76.0
SKU-96750,-76.0
SKU-98302,-75.0
SKU-96405,-75.0
SKU-93097,-75.0
SKU-95134,-75.0
SKU-98568,-74.0
SKU-96386,-74.0
SKU-96722,-74.0
SKU-90358,-74.0
SKU-90839,-74.0
SKU-94794,-74.0
SKU-90314,-74.0
SKU-94439,-74.0
SKU-91275,-74.0
SKU-94581,-74.0
SKU-93343,-74.0
SKU-98693,-73.0
SKU-94000,-73.0
SKU-96326,-73.0
SKU-95363,-73.0
SKU-95523,-73.0
SKU-97043,-73.0
SKU-95888,-72.0
SKU-97061,-72.0
SKU-93537,-72.0
SKU-92242,-72.0
SKU-96625,-72.0
SKU-91543,-72.0
SKU-97590,-72.0
SKU-92315,-71.0
SKU-90960,-71.0
SKU-96254,-71.0
SKU-95954,-71.0
SKU-92223,-71.0
SKU-91045,-71.0
SKU-95437,-70.0
SKU-95518,-70.0
SKU-98735,-70.0
SKU-92852,-70.0
SKU-99775,-69.0
SKU-95840,-69.0
SKU-93709,-69.0
SKU-97293,-69.0
SKU-98893,-69.0
SKU-99828,-68.0
SKU-94968,-68.0
SKU-91870,-68.0
SKU-95004,-68.0
SKU-92509,-68.0
SKU-98273,-68.0
SKU-98246,-68.0
SKU-95456,-67.0
SKU-98209,-67.0
SKU-93168,-67.0
SKU-96062,-67.0
SKU-93451,-67.0
SKU-90941,-67.0
SKU-90476,-66.0
SKU-96548,-66.0
SKU-96655,-66.0
SKU-97344,-66.0
SKU-98386,-66.0
SKU-98311,-66.0
SKU-93464,-66.0
SKU-92867,-65.0
SKU-98708,-65.0
SKU-96035,-65.0
SKU-99532,-65.0
SKU-90700,-65.0
SKU-93340,-65.0
SKU-95950,-64.0
SKU-92253,-64.0
SKU-99338,-64.0
SKU-98348,-64.0
SKU-90408,-64.0
SKU-91868,-64.0
SKU-98129,-64.0
SKU-93861,-63.0
SKU-95952,-63.0
SKU-98230,-63.0
SKU-92204,-63.0
SKU-92193,-62.0
SKU-90440,-62.0
SKU-95875,-62.0
