sku,current_stock
SKU-00238,903.0
SKU-00032,1320.0
SKU-00228,1344.0
SKU-00369,1402.0
SKU-00361,1468.0
SKU-00041,1519.0
SKU-00268,1525.0
SKU-00109,1539.0
SKU-00249,1548.0
SKU-00379,1573.0
SKU-00483,1613.0
SKU-00367,1631.0
SKU-00047,1654.0
SKU-00478,1665.0
SKU-00020,1697.0
SKU-00088,1728.0
SKU-00029,1768.0
SKU-00178,1779.0
SKU-00490,1791.0
SKU-00198,1823.0
SKU-00115,1827.0
SKU-00263,1839.0
SKU-00461,1844.0
SKU-00467,1855.0
SKU-00460,1858.0
SKU-00258,1883.0
SKU-00373,1887.0
SKU-00259,1901.0
SKU-00357,1904.0
SKU-00428,1937.0
SKU-00034,1941.0
SKU-00211,1943.0
SKU-00421,1948.0
SKU-00143,1951.0
SKU-00325,1954.0
SKU-00161,1970.0
SKU-00251,1989.0
SKU-00277,1996.0
SKU-00033,1998.0
SKU-00380,2003.0
SKU-00234,2017.0
SKU-00370,2018.0
SKU-00332,2019.0
SKU-00374,2035.0
SKU-00335,2039.0
SKU-00046,2040.0
SKU-00063,2042.0
SKU-00124,2043.0
SKU-00284,2046.0
SKU-00154,2057.0
SKU-00272,2059.0
SKU-00142,2073.0
SKU-00149,2086.0
SKU-00204,2089.0
SKU-00459,2093.0
SKU-00179,2119.0
SKU-00226,2122.0
SKU-00229,2137.0
SKU-00013,2142.0
SKU-00010,2152.0
SKU-00028,2155.0
SKU-00260,2157.0
SKU-00419,2167.0
SKU-00383,2171.0
SKU-00375,2188.0
SKU-00222,2191.0
SKU-00164,2203.0
SKU-00386,2213.0
SKU-00289,2235.0
SKU-00364,2236.0
SKU-00338,2245.0
SKU-00090,2261.0
SKU-00360,2272.0
SKU-00125,2276.0
SKU-00243,2279.0
SKU-00385,2279.0
SKU-00413,2284.0
SKU-00397,2290.0
SKU-00061,2292.0
SKU-00035,2292.0
SKU-00192,2302.0
SKU-00188,2309.0
SKU-00359,2311.0
SKU-00092,2319.0
SKU-00215,2326.0
SKU-00287,2330.0
SKU-00171,2332.0
SKU-00040,2334.0
SKU-00098,2341.0
SKU-00433,2342.0
SKU-00093,2353.0
SKU-00381,2353.0
SKU-00363,2359.0
SKU-00122,2365.0
SKU-00429,2373.0
SKU-00100,2383.0
SKU-00410,2392.0
SKU-00005,2405.0
SKU-00319,2409.0
SKU-00333,2416.0
SKU-00242,2418.0
SKU-00072,2418.0
SKU-00156,2421.0
SKU-00155,2421.0
SKU-00207,2423.0
SKU-00447,2442.0
SKU-00376,2444.0
SKU-00021,2447.0
SKU-00087,2469.0
SKU-00110,2473.0
SKU-00299,2478.0
SKU-00353,2478.0
SKU-00059,2482.0
SKU-00440,2485.0
SKU-00079,2489.0
SKU-00400,2489.0
SKU-00174,2491.0
SKU-00075,2492.0
SKU-00255,2500.0
SKU-00213,2505.0
SKU-00434,2530.0
SKU-00417,2531.0
SKU-00210,2553.0
SKU-00027,2558.0
SKU-00044,2561.0
SKU-00371,2563.0
SKU-00265,2582.0
SKU-00050,2584.0
SKU-00488,2584.0
SKU-00221,2586.0
SKU-00048,2597.0
SKU-00298,2614.0
SKU-00118,2614.0
SKU-00084,2629.0
SKU-00185,2635.0
SKU-00292,2640.0
SKU-00445,2643.0
SKU-00203,2645.0
SKU-00334,2647.0
SKU-00102,2647.0
SKU-00495,2648.0
SKU-00264,2649.0
SKU-00392,2657.0
SKU-00182,2657.0
SKU-00244,2662.0
SKU-00202,2673.0
SKU-00247,2676.0
SKU-00426,2677.0
SKU-00261,2679.0
SKU-00345,2686.0
SKU-00039,2694.0
SKU-00152,2702.0
SKU-00406,2703.0
SKU-00402,2710.0
SKU-00266,2710.0
SKU-00362,2711.0
SKU-00311,2714.0
SKU-00036,2722.0
SKU-00346,2722.0
SKU-00184,2722.0
SKU-00491,2725.0
SKU-00442,2730.0
SKU-00116,2742.0
SKU-00407,2755.0
SKU-00390,2757.0
SKU-00401,2759.0
SKU-00012,2762.0
SKU-00241,2771.0
SKU-00377,2776.0
SKU-00472,2784.0
SKU-00043,2786.0
SKU-00148,2789.0
SKU-00071,2790.0
SKU-00404,2791.0
SKU-00009,2794.0
SKU-00245,2802.0
SKU-00388,2807.0
SKU-00295,2815.0
SKU-00408,2823.0
SKU-00172,2834.0
SKU-00318,2834.0
SKU-00081,2836.0
SKU-00415,2839.0
SKU-00452,2841.0
SKU-00439,2843.0
SKU-00169,2847.0
SKU-00003,2848.0
SKU-00256,2851.0
SKU-00437,2853.0
SKU-00275,2856.0
SKU-00456,2860.0
SKU-00499,2861.0
SKU-00279,2867.0
SKU-00137,2873.0
SKU-00145,2876.0
SKU-00352,2879.0
SKU-00131,2879.0
SKU-00308,2882.0
SKU-00018,2882.0
SKU-00455,2889.0
SKU-00038,2893.0
SKU-00095,2896.0
SKU-00002,2896.0
SKU-00031,2896.0
SKU-00022,2901.0
SKU-00403,2907.0
SKU-00076,2913.0
SKU-00130,2916.0
SKU-00127,2918.0
SKU-00023,2925.0
SKU-00389,2932.0
SKU-00257,2936.0
SKU-00074,2942.0
SKU-00056,2943.0
SKU-00173,2948.0
SKU-00136,2950.0
SKU-00153,2951.0
SKU-00045,2952.0
SKU-00349,2961.0
SKU-00042,2966.0
SKU-00170,2969.0
SKU-00482,2980.0
SKU-00302,2983.0
SKU-00223,2986.0
SKU-00146,2986.0
SKU-00343,2987.0
SKU-00476,2990.0
SKU-00276,2994.0
SKU-00340,2998.0
SKU-00106,3000.0
SKU-00480,3007.0
SKU-00054,3014.0
SKU-00166,3023.0
SKU-00365,3038.0
SKU-00186,3039.0
SKU-00350,3041.0
SKU-00278,3045.0
SKU-00254,3050.0
SKU-00436,3063.0
SKU-00163,3065.0
SKU-00133,3071.0
SKU-00060,3072.0
SKU-00496,3072.0
SKU-00398,3074.0
SKU-00422,3077.0
SKU-00430,3086.0
SKU-00252,3091.0
SKU-00297,3093.0
SKU-00117,3096.0
SKU-00129,3097.0
SKU-00209,3102.0
SKU-00316,3108.0
SKU-00212,3110.0
SKU-00239,3111.0
SKU-00049,3112.0
SKU-00195,3114.0
SKU-00293,3116.0
SKU-00479,3125.0
SKU-00347,3134.0
SKU-00135,3136.0
SKU-00037,3140.0
SKU-00141,3143.0
SKU-00304,3145.0
SKU-00000,3147.0
SKU-00101,3152.0
SKU-00262,3157.0
SKU-00015,3158.0
SKU-00339,3161.0
SKU-00235,3163.0
SKU-00138,3169.0
SKU-00123,3176.0
SKU-00291,3176.0
SKU-00443,3184.0
SKU-00450,3190.0
SKU-00066,3195.0
SKU-00119,3199.0
SKU-00481,3200.0
SKU-00492,3205.0
SKU-00351,3208.0
SKU-00205,3209.0
SKU-00111,3212.0
SKU-00183,3215.0
SKU-00471,3216.0
SKU-00083,3216.0
SKU-00465,3217.0
SKU-00008,3218.0
SKU-00423,3224.0
SKU-00086,3228.0
SKU-00201,3229.0
SKU-00418,3244.0
SKU-00024,3249.0
SKU-00414,3261.0
SKU-00449,3263.0
SKU-00344,3267.0
SKU-00438,3269.0
SKU-00497,3280.0
SKU-00285,3289.0
SKU-00025,3299.0
SKU-00199,3308.0
SKU-00099,3308.0
SKU-00053,3309.0
SKU-00091,3312.0
SKU-00356,3313.0
SKU-00189,3313.0
SKU-00126,3316.0
SKU-00058,3321.0
SKU-00286,3328.0
SKU-00427,3334.0
SKU-00089,3335.0
SKU-00336,3339.0
SKU-00416,3341.0
SKU-00128,3341.0
SKU-00474,3346.0
SKU-00165,3346.0
SKU-00068,3350.0
SKU-00412,3352.0
SKU-00030,3354.0
SKU-00342,3355.0
SKU-00451,3358.0
SKU-00317,3363.0
SKU-00393,3364.0
SKU-00019,3373.0
SKU-00240,3402.0
SKU-00307,3403.0
SKU-00457,3408.0
SKU-00007,3408.0
SKU-00168,3408.0
SKU-00315,3410.0
SKU-00394,3422.0
SKU-00448,3422.0
SKU-00269,3424.0
SKU-00231,3437.0
SKU-00330,3449.0
SKU-00208,3450.0
SKU-00425,3450.0
SKU-00280,3454.0
SKU-00191,3458.0
SKU-00446,3460.0
SKU-00475,3462.0
SKU-00073,3469.0
SKU-00486,3475.0
SKU-00230,3487.0
SKU-00085,3488.0
SKU-00337,3490.0
SKU-00065,3511.0
SKU-00358,3512.0
SKU-00064,3513.0
