sku,current_stock
SKU-00146,-1862.0
SKU-00055,-1750.0
SKU-00085,-1225.0
SKU-00080,-931.0
SKU-00027,-399.0
SKU-95681,-342.0
SKU-94243,-340.0
SKU-95613,-328.0
SKU-96512,-304.0
SKU-92114,-258.0
SKU-97548,-256.0
SKU-98333,-250.0
SKU-00147,-231.0
SKU-98287,-218.0
SKU-95625,-212.0
SKU-93654,-200.0
SKU-91871,-200.0
SKU-98387,-200.0
SKU-98203,-200.0
SKU-97410,-200.0
SKU-93412,-200.0
SKU-97560,-200.0
SKU-99522,-200.0
SKU-94610,-200.0
SKU-98615,-198.0
SKU-91706,-198.0
SKU-96796,-198.0
SKU-98507,-198.0
SKU-97452,-198.0
SKU-99690,-198.0
SKU-90898,-198.0
SKU-94078,-198.0
SKU-95195,-198.0
SKU-92187,-198.0
SKU-95037,-196.0
SKU-93333,-196.0
SKU-93613,-196.0
SKU-91007,-196.0
SKU-98590,-196.0
SKU-90225,-196.0
SKU-92458,-196.0
SKU-97234,-196.0
SKU-90711,-194.0
SKU-97035,-194.0
SKU-91000,-194.0
SKU-96295,-194.0
SKU-96436,-194.0
SKU-96247,-192.0
SKU-98597,-192.0
SKU-98462,-192.0
SKU-93747,-192.0
SKU-92004,-192.0
SKU-91482,-190.0
SKU-92102,-190.0
SKU-96962,-190.0
SKU-97141,-190.0
SKU-93463,-190.0
SKU-98289,-188.0
SKU-97111,-188.0
SKU-94661,-188.0
SKU-92241,-188.0
SKU-99565,-188.0
SKU-93495,-186.0
SKU-96189,-186.0
SKU-96008,-186.0
SKU-92628,-186.0
SKU-93799,-186.0
SKU-98821,-184.0
SKU-91110,-184.0
SKU-90389,-184.0
SKU-96582,-184.0
SKU-94017,-184.0
SKU-90828,-182.0
SKU-91914,-182.0
SKU-94159,-182.0
SKU-95777,-182.0
SKU-98327,-182.0
SKU-95666,-182.0
SKU-90646,-182.0
SKU-96860,-180.0
SKU-99512,-180.0
SKU-99471,-180.0
SKU-96813,-180.0
SKU-94700,-180.0
SKU-98896,-180.0
