sku,current_stock,min_stock,label,category,stock_status
SKU-00238,903.0,43,L'avantage de rouler à sa source,CLOTHING,OK
SKU-00228,1344.0,49,L'avantage de changer plus rapidement,OTHER,OK
SKU-00369,1402.0,21,La liberté d'innover naturellement,ELEC,OK
SKU-00361,1468.0,43,Le confort d'atteindre vos buts à la pointe,CLOTHING,OK
SKU-00268,1525.0,45,L'assurance de changer de manière sûre,ELEC,OK
SKU-00249,1548.0,48,Le plaisir d'atteindre vos buts plus rapidement,TOOLS,OK
SKU-00379,1573.0,6,L'avantage de louer de manière efficace,TOOLS,OK
SKU-00483,1613.0,40,L'avantage d'évoluer de manière sûre,CLOTHING,OK
SKU-00367,1631.0,6,La liberté de changer de manière sûre,OTHER,OK
SKU-00478,1665.0,35,Le confort d'avancer naturellement,ELEC,OK
SKU-00490,1791.0,47,Le pouvoir d'évoluer à l'état pur,TOOLS,OK
SKU-00263,1839.0,44,L'assurance de concrétiser vos projets à l'état pur,TOOLS,OK
SKU-00461,1844.0,29,Le confort de rouler en toute tranquilité,OTHER,OK
SKU-00467,1855.0,28,Le plaisir d'évoluer de manière efficace,ELEC,OK
SKU-00460,1858.0,12,Le pouvoir de rouler sans soucis,TOOLS,OK
SKU-00258,1883.0,42,La liberté de rouler plus rapidement,CLOTHING,OK
SKU-00373,1887.0,5,L'art d'évoluer avant-tout,CLOTHING,OK
SKU-00259,1901.0,26,Le pouvoir d'atteindre vos buts naturellement,OTHER,OK
SKU-00357,1904.0,28,La possibilité d'atteindre vos buts de manière sûre,OTHER,OK
SKU-00428,1937.0,29,La liberté d'avancer à la pointe,FOOD,OK
SKU-00211,1943.0,16,Le plaisir d'innover avant-tout,TOOLS,OK
SKU-00421,1948.0,49,La liberté d'avancer plus facilement,FOOD,OK
SKU-00325,1954.0,0,La liberté de concrétiser vos projets à sa source,FOOD,OK
SKU-00251,1989.0,11,La liberté d'avancer autrement,CLOTHING,OK
SKU-00277,1996.0,29,La possibilité d'avancer autrement,OTHER,OK
SKU-00380,2003.0,9,L'assurance de concrétiser vos projets sans soucis,OTHER,OK
SKU-00234,2017.0,10,L'assurance de rouler plus facilement,ELEC,OK
SKU-00370,2018.0,26,La liberté d'atteindre vos buts en toute tranquilité,CLOTHING,OK
SKU-00332,2019.0,8,Le droit de louer de manière sûre,CLOTHING,OK
SKU-00374,2035.0,27,L'art d'atteindre vos buts plus facilement,FOOD,OK
SKU-00335,2039.0,23,L'art d'avancer plus rapidement,CLOTHING,OK
SKU-00284,2046.0,33,Le plaisir de concrétiser vos projets naturellement,CLOTHING,OK
SKU-00272,2059.0,4,Le plaisir de louer sans soucis,OTHER,OK
SKU-00204,2089.0,41,L'art d'innover à l'état pur,ELEC,OK
SKU-00020,2089.0,29,L'avantage d'avancer autrement,ELEC,OK
SKU-00459,2093.0,34,L'art de changer avant-tout,CLOTHING,OK
SKU-00226,2122.0,5,L'assurance de changer plus rapidement,OTHER,OK
SKU-00229,2137.0,28,L'art d'évoluer de manière sûre,CLOTHING,OK
SKU-00260,2157.0,39,Le confort de louer en toute tranquilité,ELEC,OK
SKU-00419,2167.0,12,L'avantage de changer plus facilement,ELEC,OK
SKU-00383,2171.0,27,Le plaisir d'atteindre vos buts à la pointe,TOOLS,OK
SKU-00375,2188.0,35,La possibilité d'avancer avant-tout,TOOLS,OK
SKU-00222,2191.0,11,L'avantage d'évoluer autrement,CLOTHING,OK
SKU-00115,2204.0,12,Le droit d'avancer sans soucis,CLOTHING,OK
SKU-00386,2213.0,22,Le droit de concrétiser vos projets plus facilement,TOOLS,OK
SKU-00289,2235.0,20,L'art de concrétiser vos projets à la pointe,OTHER,OK
SKU-00364,2236.0,17,L'assurance de changer à l'état pur,FOOD,OK
SKU-00338,2245.0,17,L'art de concrétiser vos projets de manière efficace,CLOTHING,OK
SKU-00360,2272.0,30,La liberté de louer plus facilement,FOOD,OK
SKU-00243,2279.0,28,L'assurance de louer autrement,OTHER,OK
SKU-00385,2279.0,11,L'art de louer de manière sûre,TOOLS,OK
SKU-00413,2284.0,27,Le confort d'innover de manière efficace,FOOD,OK
SKU-00397,2290.0,43,Le confort de changer à la pointe,FOOD,OK
SKU-00359,2311.0,29,La liberté d'avancer naturellement,OTHER,OK
SKU-00215,2326.0,6,La possibilité de louer plus rapidement,OTHER,OK
SKU-00287,2330.0,39,Le plaisir d'avancer sans soucis,TOOLS,OK
SKU-00433,2342.0,20,Le droit de rouler à la pointe,OTHER,OK
SKU-00381,2353.0,6,Le pouvoir d'évoluer en toute tranquilité,CLOTHING,OK
SKU-00363,2359.0,38,Le confort de louer à sa source,FOOD,OK
SKU-00429,2373.0,23,La possibilité de louer plus rapidement,FOOD,OK
SKU-00410,2392.0,10,Le droit de changer de manière sûre,FOOD,OK
SKU-00319,2409.0,33,L'avantage de rouler à l'état pur,OTHER,OK
