sku,current_stock,min_stock,label,category,stock_status
SKU-00238,3612.0,43,L'avantage de rouler à sa source,CLOTHING,OK
SKU-00228,5376.0,49,L'avantage de changer plus rapidement,OTHER,OK
SKU-00369,5608.0,21,La liberté d'innover naturellement,ELEC,OK
SKU-00361,5872.0,43,Le confort d'atteindre vos buts à la pointe,CLOTHING,OK
SKU-00268,6100.0,45,L'assurance de changer de manière sûre,ELEC,OK
SKU-00249,6192.0,48,Le plaisir d'atteindre vos buts plus rapidement,TOOLS,OK
SKU-00379,6292.0,6,L'avantage de louer de manière efficace,TOOLS,OK
SKU-00483,6452.0,40,L'avantage d'évoluer de manière sûre,CLOTHING,OK
SKU-00367,6524.0,6,La liberté de changer de manière sûre,OTHER,OK
SKU-00478,6660.0,35,Le confort d'avancer naturellement,ELEC,OK
SKU-00490,7164.0,47,Le pouvoir d'évoluer à l'état pur,TOOLS,OK
SKU-00020,7180.0,29,L'avantage d'avancer autrement,ELEC,OK
SKU-00263,7356.0,44,L'assurance de concrétiser vos projets à l'état pur,TOOLS,OK
SKU-00461,7376.0,29,Le confort de rouler en toute tranquilité,OTHER,OK
SKU-00467,7420.0,28,Le plaisir d'évoluer de manière efficace,ELEC,OK
SKU-00460,7432.0,12,Le pouvoir de rouler sans soucis,TOOLS,OK
SKU-00258,7532.0,42,La liberté de rouler plus rapidement,CLOTHING,OK
SKU-00373,7548.0,5,L'art d'évoluer avant-tout,CLOTHING,OK
SKU-00259,7604.0,26,Le pouvoir d'atteindre vos buts naturellement,OTHER,OK
SKU-00357,7616.0,28,La possibilité d'atteindre vos buts de manière sûre,OTHER,OK
SKU-00115,7685.0,12,Le droit d'avancer sans soucis,CLOTHING,OK
SKU-00428,7748.0,29,La liberté d'avancer à la pointe,FOOD,OK
SKU-00211,7772.0,16,Le plaisir d'innover avant-tout,TOOLS,OK
SKU-00421,7792.0,49,La liberté d'avancer plus facilement,FOOD,OK
SKU-00325,7816.0,0,La liberté de concrétiser vos projets à sa source,FOOD,OK
SKU-00047,7840.0,16,Le confort d'avancer sans soucis,OTHER,OK
SKU-00041,7901.0,38,Le plaisir de concrétiser vos projets de manière sûre,ELEC,OK
SKU-00032,7943.0,38,Le plaisir d'évoluer plus facilement,CLOTHING,OK
SKU-00251,7956.0,11,La liberté d'avancer autrement,CLOTHING,OK
SKU-00277,7984.0,29,La possibilité d'avancer autrement,OTHER,OK
SKU-00198,7991.0,21,Le confort de changer à la pointe,OTHER,OK
SKU-00380,8012.0,9,L'assurance de concrétiser vos projets sans soucis,OTHER,OK
SKU-00109,8015.0,39,L'assurance d'atteindre vos buts avant-tout,OTHER,OK
SKU-00234,8068.0,10,L'assurance de rouler plus facilement,ELEC,OK
SKU-00370,8072.0,26,La liberté d'atteindre vos buts en toute tranquilité,CLOTHING,OK
SKU-00332,8076.0,8,Le droit de louer de manière sûre,CLOTHING,OK
SKU-00374,8140.0,27,L'art d'atteindre vos buts plus facilement,FOOD,OK
SKU-00335,8156.0,23,L'art d'avancer plus rapidement,CLOTHING,OK
SKU-00284,8184.0,33,Le plaisir de concrétiser vos projets naturellement,CLOTHING,OK
SKU-00272,8236.0,4,Le plaisir de louer sans soucis,OTHER,OK
SKU-00204,8356.0,41,L'art d'innover à l'état pur,ELEC,OK
SKU-00029,8367.0,5,Le droit de rouler plus rapidement,ELEC,OK
SKU-00459,8372.0,34,L'art de changer avant-tout,CLOTHING,OK
SKU-00226,8488.0,5,L'assurance de changer plus rapidement,OTHER,OK
SKU-00229,8548.0,28,L'art d'évoluer de manière sûre,CLOTHING,OK
SKU-00260,8628.0,39,Le confort de louer en toute tranquilité,ELEC,OK
SKU-00419,8668.0,12,L'avantage de changer plus facilement,ELEC,OK
SKU-00383,8684.0,27,Le plaisir d'atteindre vos buts à la pointe,TOOLS,OK
SKU-00088,8712.0,4,Le confort d'avancer en toute tranquilité,OTHER,OK
SKU-00375,8752.0,35,La possibilité d'avancer avant-tout,TOOLS,OK
SKU-00222,8764.0,11,L'avantage d'évoluer autrement,CLOTHING,OK
SKU-00386,8852.0,22,Le droit de concrétiser vos projets plus facilement,TOOLS,OK
SKU-00063,8856.0,25,L'assurance de rouler de manière efficace,FOOD,OK
SKU-00289,8940.0,20,L'art de concrétiser vos projets à la pointe,OTHER,OK
SKU-00364,8944.0,17,L'assurance de changer à l'état pur,FOOD,OK
SKU-00338,8980.0,17,L'art de concrétiser vos projets de manière efficace,CLOTHING,OK
SKU-00124,9050.0,46,Le droit d'avancer autrement,CLOTHING,OK
SKU-00360,9088.0,30,La liberté de louer plus facilement,FOOD,OK
SKU-00385,9116.0,11,L'art de louer de manière sûre,TOOLS,OK
SKU-00243,9116.0,28,L'assurance de louer autrement,OTHER,OK
SKU-00413,9136.0,27,Le confort d'innover de manière efficace,FOOD,OK
SKU-00178,9143.0,1,Le plaisir de rouler à l'état pur,ELEC,OK
SKU-00397,9160.0,43,Le confort de changer à la pointe,FOOD,OK
SKU-00142,9170.0,39,L'assurance de changer avant-tout,ELEC,OK
SKU-00010,9237.0,38,La liberté d'innover à sa source,TOOLS,OK
SKU-00359,9244.0,29,La liberté d'avancer naturellement,OTHER,OK
SKU-00033,9261.0,35,La possibilité d'évoluer en toute tranquilité,OTHER,OK
SKU-00215,9304.0,6,La possibilité de louer plus rapidement,OTHER,OK
SKU-00287,9320.0,39,Le plaisir d'avancer sans soucis,TOOLS,OK
SKU-00034,9331.0,43,Le pouvoir de louer naturellement,FOOD,OK
SKU-00433,9368.0,20,Le droit de rouler à la pointe,OTHER,OK
SKU-00381,9412.0,6,Le pouvoir d'évoluer en toute tranquilité,CLOTHING,OK
SKU-00363,9436.0,38,Le confort de louer à sa source,FOOD,OK
SKU-00429,9492.0,23,La possibilité de louer plus rapidement,FOOD,OK
SKU-00410,9568.0,10,Le droit de changer de manière sûre,FOOD,OK
SKU-00319,9636.0,33,L'avantage de rouler à l'état pur,OTHER,OK
SKU-00333,9664.0,31,Le plaisir d'atteindre vos buts plus rapidement,FOOD,OK
