schema_version,sku,label,category,unit,min_stock,published_at,line_number,rejection_reason
1.0,SKU-00000,Le confort d'avancer à l'état pur,FOOD,PCS,47,2024-01-09T00:00:00,2,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00001,L'avantage d'atteindre vos buts de manière efficace,ELEC,KG,8,2024-01-24T00:00:00,3,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00002,La possibilité de changer à sa source,FOOD,PCS,37,2024-01-14T00:00:00,4,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00003,L'art d'innover plus facilement,FOOD,PCS,5,2024-01-07T00:00:00,5,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00004,L'art d'avancer plus rapidement,ELEC,PCS,35,2024-01-07T00:00:00,6,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00005,L'avantage d'innover de manière sûre,OTHER,BOX,14,2024-01-15T00:00:00,7,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00006,Le droit d'avancer autrement,OTHER,L,0,2024-01-25T00:00:00,8,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00007,L'avantage de changer à sa source,ELEC,BOX,21,2024-01-09T00:00:00,9,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00008,Le pouvoir d'innover naturellement,ELEC,KG,48,2024-01-11T00:00:00,10,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00009,Le confort de louer avant-tout,FOOD,PCS,24,2024-01-04T00:00:00,11,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00010,La liberté d'innover à sa source,TOOLS,L,38,2024-01-09T00:00:00,12,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00011,L'avantage d'évoluer à la pointe,FOOD,BOX,34,2024-01-04T00:00:00,13,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00012,Le confort de concrétiser vos projets autrement,CLOTHING,PCS,35,2024-01-10T00:00:00,14,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00013,La liberté de changer à l'état pur,OTHER,L,36,2024-01-07T00:00:00,15,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00014,L'art d'atteindre vos buts en toute tranquilité,FOOD,PCS,42,2024-01-08T00:00:00,16,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00015,Le pouvoir de concrétiser vos projets plus facilement,TOOLS,PCS,14,2024-01-28T00:00:00,17,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00016,Le confort de changer à sa source,FOOD,BOX,17,2024-01-15T00:00:00,18,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00017,L'avantage d'atteindre vos buts sans soucis,TOOLS,KG,23,2024-01-12T00:00:00,19,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
1.0,SKU-00018,L'art de changer plus facilement,ELEC,L,44,2024-01-30T00:00:00,20,"1 validation error for CatalogueRecordV1
schema_version
  Input should be '1.0' [type=literal_error, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.10/v/literal_error"
